kg,model,strategy,heuristic_auroc,emb_auroc,emb_auprc,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,mrr,hits@10,hits@100,train_time_s
primekg,TransE,random,0.9462783578932566,0.9711949698373975,0.8718903466508036,0.9657335823917088,0.9762793842950321,0.8471832798698153,0.895248859950572,0.007137240112248135,0.008519701810436636,0.09691160809371673,2105.2652208805084
primekg,TransE,type-constrained,0.9463787297796015,0.9703123777249266,0.8685313733351161,0.9649572710642028,0.9753204641831146,0.8461050656643797,0.891121594930632,0.007601269214774452,0.010649627263045794,0.0979765708200213,2105.2652208805084
primekg,TransE,shared-target,0.9277016199001725,0.9599496893008105,0.7965822527804113,0.9538901024246899,0.9656128639331488,0.7703215922656822,0.8230249668509129,0.007304925271520874,0.010649627263045794,0.08945686900958466,2105.2652208805084
primekg,RotatE,random,0.9462783578932566,0.9680645011290419,0.8691091749217676,0.9619357427122639,0.9739050958296332,0.8455134220110515,0.8935716504260492,0.006401025514461815,0.008519701810436636,0.09584664536741214,1757.2880890369415
primekg,RotatE,type-constrained,0.9463787297796015,0.9685589886143121,0.8825465520802563,0.9618849159768226,0.9743582550489328,0.863908251915647,0.9015939767741749,0.007666626386893891,0.010649627263045794,0.1033013844515442,1757.2880890369415
primekg,RotatE,shared-target,0.9277016199001725,0.9316127210308023,0.7140309520582453,0.9227979769110637,0.9398703983459621,0.686131777710818,0.7435504579841666,0.0067836879556960415,0.007454739084132056,0.08732694355697551,1757.2880890369415
hetionet,TransE,random,0.8835872576177285,0.7559210526315789,0.3161383237463618,0.7008223684210527,0.8100865650969528,0.2646833683623025,0.4047459528007936,0.021444313606220025,0.05263157894736842,0.4473684210526316,219.34291672706604
hetionet,TransE,type-constrained,0.874549861495845,0.7374653739612188,0.2887745461329251,0.6806423130193907,0.7850796398891966,0.2473216712867508,0.3721199141799905,0.01889663785434851,0.02631578947368421,0.39473684210526316,219.34291672706604
hetionet,TransE,shared-target,0.8298995844875346,0.6580332409972299,0.2378456979231612,0.593553497229917,0.7170126385041552,0.20420392753697883,0.30825742713261567,0.01566158883150608,0.02631578947368421,0.3157894736842105,219.34291672706604
hetionet,RotatE,random,0.8835872576177285,0.8269390581717452,0.46020064491265217,0.7830245844875346,0.8707184903047092,0.37301918842595533,0.563534869440775,0.046063001341512186,0.06578947368421052,0.5657894736842105,604.732635974884
hetionet,RotatE,type-constrained,0.874549861495845,0.8265927977839335,0.4315873856853883,0.7797394390581718,0.8684574099722991,0.3505555493781536,0.5294494336078505,0.04233240692056742,0.05263157894736842,0.5526315789473685,604.732635974884
hetionet,RotatE,shared-target,0.8298995844875346,0.7020083102493074,0.307534134598917,0.6424852839335179,0.7584755886426593,0.24503611784053808,0.38520057102801863,0.03797750302731172,0.05263157894736842,0.3684210526315789,604.732635974884
drkg,TransE,random,0.9255715378791866,0.9609228813525014,0.8555854208504817,0.9519944010137282,0.9691636741981061,0.826363816206543,0.8826286083766179,0.013114468573148385,0.02012072434607646,0.19114688128772636,565.5139691829681
drkg,TransE,type-constrained,0.9284941034537203,0.9618645474456397,0.8563726748748369,0.952426956102814,0.9698032865199243,0.8267781039221149,0.88333492792036,0.01305523669401989,0.02012072434607646,0.193158953722334,565.5139691829681
drkg,TransE,shared-target,0.8570019715880797,0.8200867174880269,0.49788626276065423,0.7978058086952298,0.841147994607484,0.45710004790639736,0.5438545941987741,0.009962018270925617,0.018108651911468814,0.1267605633802817,565.5139691829681
drkg,RotatE,random,0.9255715378791866,0.9019671348007561,0.7899469632478874,0.8810500629531717,0.9232621382216842,0.7553009850670549,0.8249538959618782,0.012788634853870847,0.018108651911468814,0.18712273641851107,1382.7810220718384
