kg,model,strategy,heuristic_auroc,emb_auroc,emb_auprc,auroc_ci_lo,auroc_ci_hi,auprc_ci_lo,auprc_ci_hi,mrr,hits@10,hits@100,train_time_s
primekg,TransE,random,0.9462783578932566,0.9711949698373975,0.8718903466508036,0.9657335823917088,0.9762793842950321,0.8471832798698153,0.895248859950572,0.007137240112248135,0.008519701810436636,0.09691160809371673,1754.7678184509277
primekg,TransE,type-constrained,0.9463787297796015,0.9703123777249266,0.8685313733351161,0.9649572710642028,0.9753204641831146,0.8461050656643797,0.891121594930632,0.007601269214774452,0.010649627263045794,0.0979765708200213,1754.7678184509277
primekg,TransE,shared-target,0.9277016199001725,0.9599496893008105,0.7965822527804113,0.9538901024246899,0.9656128639331488,0.7703215922656822,0.8230249668509129,0.007304925271520874,0.010649627263045794,0.08945686900958466,1754.7678184509277
primekg,RotatE,random,0.9462783578932566,0.9680645011290419,0.8691091749217676,0.9619357427122639,0.9739050958296332,0.8455134220110515,0.8935716504260492,0.006401025514461815,0.008519701810436636,0.09584664536741214,3240.2137677669525
primekg,RotatE,type-constrained,0.9463787297796015,0.9685589886143121,0.8825465520802563,0.9618849159768226,0.9743582550489328,0.863908251915647,0.9015939767741749,0.007666626386893891,0.010649627263045794,0.1033013844515442,3240.2137677669525
primekg,RotatE,shared-target,0.9277016199001725,0.9316127210308023,0.7140309520582453,0.9227979769110637,0.9398703983459621,0.686131777710818,0.7435504579841666,0.0067836879556960415,0.007454739084132056,0.08732694355697551,3240.2137677669525
hetionet,TransE,random,0.8835872576177285,0.7559210526315789,0.3161383237463618,0.7008223684210527,0.8100865650969528,0.2646833683623025,0.4047459528007936,0.021444313606220025,0.05263157894736842,0.4473684210526316,501.72746896743774
hetionet,TransE,type-constrained,0.874549861495845,0.7374653739612188,0.2887745461329251,0.6806423130193907,0.7850796398891966,0.2473216712867508,0.3721199141799905,0.01889663785434851,0.02631578947368421,0.39473684210526316,501.72746896743774
hetionet,TransE,shared-target,0.8298995844875346,0.6719182825484764,0.24775694433966103,0.6068533587257617,0.732796052631579,0.21208301334254123,0.31998496609871857,0.016297323562628342,0.02631578947368421,0.3157894736842105,501.72746896743774
hetionet,RotatE,random,0.8835872576177285,0.8265235457063712,0.4598709816777877,0.7826082063711911,0.8704380193905817,0.37276281659997684,0.5629105640214866,0.04605698302263149,0.06578947368421052,0.5657894736842105,1114.8785498142242
hetionet,RotatE,type-constrained,0.874549861495845,0.8264196675900277,0.43156413972664,0.7793273891966759,0.8683526662049863,0.3504648683310992,0.5301579018447102,0.0423350981307455,0.05263157894736842,0.5657894736842105,1114.8785498142242
hetionet,RotatE,shared-target,0.8298995844875346,0.7053324099722991,0.30946610669403096,0.6457349376731302,0.7579709141274239,0.25012023982412374,0.3852097331130081,0.0380291022104805,0.05263157894736842,0.3815789473684211,1114.8785498142242
drkg,TransE,random,0.9255715378791866,0.9609228813525014,0.8555854208504817,0.9519944010137282,0.9691636741981061,0.826363816206543,0.8826286083766179,0.013114468573148385,0.02012072434607646,0.19114688128772636,1208.6503477096558
drkg,TransE,type-constrained,0.9284941034537203,0.9618645474456397,0.8563726748748369,0.952426956102814,0.9698032865199243,0.8267781039221149,0.88333492792036,0.01305523669401989,0.02012072434607646,0.193158953722334,1208.6503477096558
drkg,TransE,shared-target,0.8570019715880797,0.8200867174880269,0.49788626276065423,0.7978058086952298,0.841147994607484,0.45710004790639736,0.5438545941987741,0.009962018270925617,0.018108651911468814,0.1267605633802817,1208.6503477096558
drkg,RotatE,random,0.9255715378791866,0.9021120687910157,0.7903490487067458,0.8811409908140998,0.9233552016323292,0.7555231264752207,0.8252846977579522,0.012793004797679483,0.018108651911468814,0.18712273641851107,2591.7242243289948
drkg,RotatE,type-constrained,0.9284941034537203,0.9044982166641702,0.7906377272067708,0.8832230809403707,0.9229715718860447,0.7557073808614178,0.8276434807299047,0.012543628880448248,0.018108651911468814,0.18309859154929578,2591.7242243289948
drkg,RotatE,shared-target,0.8570019715880797,0.8344368018979064,0.5122692120325705,0.813975664854317,0.8537821901226272,0.47363932404430303,0.5585035503451866,0.010332255470784604,0.01609657947686117,0.12474849094567404,2591.7242243289948
openbilink,TransE,random,0.7595710081328331,0.9665155255218455,0.9377356406568217,0.9563702102165188,0.976244084195538,0.9236503467252061,0.9519464998801266,0.009878467776797696,0.01394700139470014,0.1394700139470014,994.8449833393097
