kg,model,strategy,rerun,rerun_seed,auroc,auprc,mrr,hits@10,hits@100,train_time_s
primekg,TransE,random,0,42,0.9774486487222148,0.8873023638384094,0.0073568270825991,0.0095846645367412,0.1001064962726304,490.56725096702576
primekg,TransE,type-constrained,0,42,0.976973214883166,0.8850449681701478,0.0075089140888556,0.0095846645367412,0.1033013844515442,490.56725096702576
primekg,TransE,shared-target,0,42,0.9577272175665544,0.7893291882761903,0.0072543598452053,0.0106496272630457,0.0905218317358892,490.56725096702576
primekg,RotatE,random,0,42,0.9749687259348478,0.9081096680083172,0.0074360088104505,0.0085197018104366,0.1043663471778487,818.7758479118347
primekg,RotatE,type-constrained,0,42,0.9754412109953148,0.9106346887514524,0.0077262695566701,0.0106496272630457,0.1022364217252396,818.7758479118347
primekg,RotatE,shared-target,0,42,0.9494706375372708,0.7988836347590469,0.0071540000987547,0.0085197018104366,0.1001064962726304,818.7758479118347
primekg,Gemma,random,0,42,0.849822562919563,0.5791378059492975,0.0068810438525599,0.0106496272630457,0.0915867944621938,0.0
primekg,Gemma,type-constrained,0,42,0.8537209616193783,0.595199202432793,0.0070210994998867,0.0106496272630457,0.101171458998935,0.0
primekg,Gemma,shared-target,0,42,0.7825786161382114,0.4835506102492732,0.0063410787794097,0.0095846645367412,0.0915867944621938,0.0
primekg,TransE,random,1,1042,0.9781337860842602,0.9007203117329065,0.007627258808475,0.0095846645367412,0.1043663471778487,508.527946472168
primekg,TransE,type-constrained,1,1042,0.9739888241291748,0.8760811822307865,0.007615260099159,0.0106496272630457,0.1001064962726304,508.527946472168
primekg,TransE,shared-target,1,1042,0.9571220374699024,0.8086488972367453,0.0074295722900135,0.0106496272630457,0.0990415335463258,508.527946472168
primekg,RotatE,random,1,1042,0.9762754885048672,0.9193865132163236,0.007703540491842,0.0106496272630457,0.1033013844515442,819.6617329120636
primekg,RotatE,type-constrained,1,1042,0.9738255071615626,0.9033304472136834,0.0072043413353833,0.0095846645367412,0.1043663471778487,819.6617329120636
primekg,RotatE,shared-target,1,1042,0.9482874968385692,0.7830888179334131,0.0072709815807386,0.0106496272630457,0.0915867944621938,819.6617329120636
primekg,Gemma,random,1,1042,0.8610794117413558,0.6182031060977801,0.0071324836740119,0.0106496272630457,0.0979765708200213,0.0
primekg,Gemma,type-constrained,1,1042,0.8607541387808615,0.6057872618476896,0.0070011688661775,0.0106496272630457,0.0958466453674121,0.0
primekg,Gemma,shared-target,1,1042,0.7860409358515903,0.4906721121614057,0.0066600380965299,0.0106496272630457,0.0894568690095846,0.0
primekg,TransE,random,2,2042,0.9682382522362516,0.8616553837956688,0.0073750051345009,0.0095846645367412,0.101171458998935,504.76854062080383
primekg,TransE,type-constrained,2,2042,0.96776916961261,0.8583887058067838,0.0070614391004205,0.0095846645367412,0.0969116080937167,504.76854062080383
primekg,TransE,shared-target,2,2042,0.9487819843238394,0.7844124248234194,0.0073214414369016,0.0106496272630457,0.0969116080937167,504.76854062080383
primekg,RotatE,random,2,2042,0.9712414698073426,0.8951694983456985,0.0076750507955342,0.0106496272630457,0.1022364217252396,816.8783247470856
primekg,RotatE,type-constrained,2,2042,0.9708601700537924,0.8893545068920113,0.0069417822753976,0.0085197018104366,0.1043663471778487,816.8783247470856
primekg,RotatE,shared-target,2,2042,0.941488747574346,0.755351871813728,0.0070840963932351,0.0106496272630457,0.0905218317358892,816.8783247470856
primekg,Gemma,random,2,2042,0.8501653017224271,0.590578495284125,0.0070439022936157,0.0106496272630457,0.1001064962726304,0.0
primekg,Gemma,type-constrained,2,2042,0.8495172509217768,0.5839574293400787,0.0069976079332066,0.0106496272630457,0.0958466453674121,0.0
primekg,Gemma,shared-target,2,2042,0.7730238930455325,0.4715931319223366,0.0064627317810527,0.0095846645367412,0.08839190628328,0.0
hetionet,TransE,random,0,42,0.7676246537396122,0.3487986322904179,0.0339481307483588,0.0526315789473684,0.4736842105263157,135.6892533302307
hetionet,TransE,type-constrained,0,42,0.7583795013850416,0.3369080946182192,0.03498743585901,0.0526315789473684,0.4868421052631579,135.6892533302307
hetionet,TransE,shared-target,0,42,0.6887465373961219,0.2763231024434755,0.0252368191121363,0.0526315789473684,0.3552631578947368,135.6892533302307
hetionet,RotatE,random,0,42,0.8397853185595568,0.5019431134370853,0.0487511051706614,0.1052631578947368,0.5657894736842105,220.4762237071991
hetionet,RotatE,type-constrained,0,42,0.8369806094182826,0.4467284811930233,0.0374158622954673,0.0526315789473684,0.5789473684210527,220.4762237071991
hetionet,RotatE,shared-target,0,42,0.7297091412742382,0.3418012605748961,0.036735458889431,0.0657894736842105,0.4078947368421052,220.4762237071991
hetionet,Gemma,random,0,42,0.7518005540166205,0.5118509328724097,0.0530106709047991,0.1184210526315789,0.5394736842105263,0.0
hetionet,Gemma,type-constrained,0,42,0.7439404432132963,0.4991700574364541,0.0518187199868161,0.1184210526315789,0.5263157894736842,0.0
hetionet,Gemma,shared-target,0,42,0.7061980609418281,0.4619149201986521,0.0517939047185709,0.131578947368421,0.4868421052631579,0.0
hetionet,TransE,random,1,1042,0.7388157894736842,0.3198643511392627,0.0204705130405803,0.0394736842105263,0.4605263157894737,132.71709966659546
hetionet,TransE,type-constrained,1,1042,0.7035664819944599,0.305122786878008,0.0217023953864774,0.0526315789473684,0.3684210526315789,132.71709966659546
hetionet,TransE,shared-target,1,1042,0.6502077562326869,0.272825520357776,0.0211082480885928,0.0526315789473684,0.3289473684210526,132.71709966659546
hetionet,RotatE,random,1,1042,0.8204639889196675,0.5226820651130998,0.0513952908380557,0.0921052631578947,0.6052631578947368,219.3448600769043
hetionet,RotatE,type-constrained,1,1042,0.8094009695290859,0.4277007378302615,0.0291335008213666,0.0789473684210526,0.5921052631578947,219.3448600769043
hetionet,RotatE,shared-target,1,1042,0.7085872576177286,0.2963433075506875,0.0213214417514374,0.0394736842105263,0.4078947368421052,219.3448600769043
hetionet,Gemma,random,1,1042,0.7313365650969529,0.454871728955691,0.0477665849261944,0.0921052631578947,0.5526315789473685,0.0
hetionet,Gemma,type-constrained,1,1042,0.7338642659279778,0.5449434445343394,0.0533311653406906,0.1184210526315789,0.5657894736842105,0.0
hetionet,Gemma,shared-target,1,1042,0.7206024930747923,0.4743971579034765,0.05015742220581,0.1052631578947368,0.5394736842105263,0.0
hetionet,TransE,random,2,2042,0.7415512465373961,0.3594728991114006,0.032977369383201,0.0789473684210526,0.4210526315789473,130.24004340171814
hetionet,TransE,type-constrained,2,2042,0.7495152354570637,0.3292073526166584,0.0246107414894776,0.0657894736842105,0.4210526315789473,130.24004340171814
hetionet,TransE,shared-target,2,2042,0.6254847645429363,0.2377807695697191,0.0163624791019187,0.0526315789473684,0.3421052631578947,130.24004340171814
hetionet,RotatE,random,2,2042,0.8319598337950138,0.4695572238614407,0.0473707418861343,0.0921052631578947,0.5394736842105263,217.15201687812805
hetionet,RotatE,type-constrained,2,2042,0.8529085872576178,0.5256748462005644,0.0502981351575402,0.0921052631578947,0.5789473684210527,217.15201687812805
hetionet,RotatE,shared-target,2,2042,0.7409972299168974,0.3400314764586379,0.0363876143418114,0.0789473684210526,0.3947368421052631,217.15201687812805
hetionet,Gemma,random,2,2042,0.6788434903047091,0.4111245084528551,0.0444875023985312,0.0921052631578947,0.4736842105263157,0.0
hetionet,Gemma,type-constrained,2,2042,0.6873268698060941,0.3924968733205453,0.0417660550117172,0.0789473684210526,0.4868421052631579,0.0
hetionet,Gemma,shared-target,2,2042,0.6673130193905819,0.362184878521247,0.0369056931525849,0.0657894736842105,0.4736842105263157,0.0
drkg,TransE,random,0,42,0.9609236910395976,0.8481111648567232,0.0130893651400325,0.0201207243460764,0.1911468812877263,370.17233657836914
drkg,TransE,type-constrained,0,42,0.960851628888016,0.8429632966226654,0.0130436331956055,0.0201207243460764,0.193158953722334,370.17233657836914
drkg,TransE,shared-target,0,42,0.8061706253618289,0.4855362936570475,0.0104600365630422,0.0160965794768611,0.1327967806841046,370.17233657836914
drkg,RotatE,random,0,42,0.9295815132242145,0.8331745389602874,0.0129901740256123,0.0201207243460764,0.193158953722334,598.841872215271
drkg,RotatE,type-constrained,0,42,0.9305328955625098,0.8312035234049796,0.0126668410064268,0.0181086519114688,0.193158953722334,598.841872215271
drkg,RotatE,shared-target,0,42,0.847973555619431,0.577597364179304,0.0113316418227409,0.0160965794768611,0.1529175050301811,598.841872215271
drkg,Gemma,random,0,42,0.5375253533272066,0.1594101978141823,0.0010399645507365,0.0,0.0060362173038229,0.0
drkg,Gemma,type-constrained,0,42,0.5418401758640373,0.1606878620480416,0.0010415685738377,0.0,0.0060362173038229,0.0
drkg,Gemma,shared-target,0,42,0.663242634883749,0.241522681996825,0.0031373480833846,0.0040241448692152,0.0543259557344064,0.0
drkg,TransE,random,1,1042,0.9634539632159153,0.8477685085505485,0.0130515112037107,0.0201207243460764,0.1911468812877263,368.7929685115814
