disease,biokg,drkg,no_kg,primekg,cov_primekg,cov_drkg,cov_biokg,lift_primekg,lift_drkg,lift_biokg
1L biliary tract cancer (+gemcitabine+cisplatin),0.40672713529856386,0.39189342403628113,0.278354119425548,0.5138038548752835,1,1,1,0.23544973544973546,0.11353930461073314,0.12837301587301586
"ALK+ solid tumors (tissue-agnostic, world-first)",0.8450396825396825,0.812358276643991,0.3278817082388511,0.8847222222222222,1,1,0,0.5568405139833711,0.48447656840513986,0.5171579743008314
Acquired hypofibrinogenemia in cardiovascular surgery,0.22181594860166284,0.15881519274376416,0.29046674225245656,0.2698601662887377,1,0,0,-0.020606575963718843,-0.1316515495086924,-0.06865079365079371
Acquired hypothalamic obesity,0.17518896447467874,0.7838624338624339,0.2642951625094482,0.8012566137566137,1,1,0,0.5369614512471655,0.5195672713529857,-0.08910619803476943
Acute HCV pediatric,0.41755479969765685,0.3233087679516251,0.2276549508692366,0.5633219954648526,1,1,1,0.335667044595616,0.09565381708238851,0.18989984882842026
Advanced RCC after PD-1/PD-L1 + VEGF-TKI,0.5650321239606954,0.39297996976568406,0.2417989417989418,0.6372260015117158,1,1,1,0.39542705971277403,0.15118102796674227,0.32323318216175356
Agitation associated with Alzheimer's dementia,0.619515306122449,0.5107898715041572,0.34191232048374903,0.5279761904761905,1,1,1,0.18606386999244146,0.1688775510204082,0.27760298563869995
Allergic fungal rhinosinusitis (AFRS) ≥6yr,0.7394179894179894,0.7461640211640211,0.28280423280423284,0.8246693121693122,1,1,1,0.5418650793650793,0.4633597883597883,0.4566137566137566
Antibody-mediated rejection in organ transplantation,0.7636810279667423,0.5672524565381708,0.39466175359032496,0.642819349962207,0,1,0,0.24815759637188206,0.17259070294784584,0.36901927437641735
Atopic dermatitis,0.5410336356764928,0.666921768707483,0.3468726379440665,0.6418934240362811,1,0,1,0.29502078609221466,0.3200491307634165,0.1941609977324263
BRAF V600E metastatic NSCLC,0.7535336356764928,0.7484410430839002,0.2483843537414966,0.7955309901738472,1,1,1,0.5471466364323506,0.5000566893424037,0.5051492819349962
BRAF+ thyroid cancer,0.7452995086923658,0.7622826908541194,0.2872685185185185,0.6875614134542706,1,1,1,0.4002928949357521,0.4750141723356009,0.45803099017384735
Biliary tract cancer,0.3916855631141345,0.6187074829931972,0.2932445200302343,0.5213151927437641,1,1,1,0.22807067271352982,0.3254629629629629,0.09844104308390017
Biliary tract cancer 1L,0.6199074074074075,0.5451908541194255,0.3145219198790627,0.7328231292517007,1,1,1,0.418301209372638,0.23066893424036278,0.30538548752834477
CKD in T2D,0.6680177626606197,0.6798941798941799,0.24258314436885864,0.7338246409674981,1,1,1,0.49124149659863947,0.43731103552532125,0.4254346182917611
COPD,0.45254157218442936,0.30148337112622825,0.2707955404383976,0.5210128495842782,1,1,1,0.2502173091458806,0.030687830687830653,0.18174603174603177
COPD (EMA 2025),0.37488662131519274,0.479261148904006,0.22291194255479965,0.47799508692365833,1,1,1,0.2550831443688587,0.2563492063492063,0.15197467876039308
COVID-19 (expanded population),0.2864890400604686,0.1830309901738473,0.2702097505668934,0.26062925170068024,1,0,0,-0.00958049886621315,-0.08717876039304609,0.01627928949357521
COVID-19 in severe renal impairment/dialysis,0.34866780045351475,0.1575302343159486,0.29422713529856387,0.3916950113378685,1,0,0,0.09746787603930462,-0.13669690098261528,0.054440665154950885
COVID-19 updated strain,0.2105442176870748,0.21526832955404385,0.2272675736961451,0.22665343915343913,1,0,0,-0.0006141345427059519,-0.01199924414210124,-0.016723356009070295
CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),0.21131897203325772,0.19172335600907028,0.23621504157218443,0.2705593348450491,1,1,1,0.0343442932728647,-0.04449168556311414,-0.0248960695389267
Cerebral folate transport deficiency,0.26323696145124714,0.4873582766439909,0.5905990173847316,0.6291950113378685,1,0,0,0.03859599395313684,-0.10324074074074074,-0.3273620559334845
Chorea associated with Huntington's disease,0.20392101284958425,0.35266439909297054,0.20192743764172336,0.23750944822373393,1,1,1,0.035582010582010576,0.15073696145124718,0.0019935752078608926
Chronic hepatitis B (pediatric),0.34278155706727137,0.18833144368858654,0.2167328042328042,0.3048185941043084,1,1,1,0.0880857898715042,-0.028401360544217658,0.12604875283446718
Chronic kidney disease,0.4030990173847317,0.6889172335600907,0.25170068027210885,0.6128873771730914,1,1,1,0.36118669690098254,0.43721655328798187,0.15139833711262285
Chronic lymphocytic leukemia,0.7731481481481481,0.7104497354497354,0.30893801965230533,0.7858465608465608,1,1,1,0.47690854119425546,0.4015117157974301,0.4642101284958428
Chronic thromboembolic pulmonary hypertension,0.7188114134542706,0.597411186696901,0.32406462585034007,0.5456727135298564,1,1,1,0.22160808767951629,0.2733465608465609,0.3947467876039305
Crohn's disease,0.7836073318216176,0.7830168178382464,0.24721749811035523,0.7118339002267573,1,1,1,0.4646164021164021,0.5357993197278912,0.5363898337112624
"Crohn's disease (moderate-severe, refractory)",0.8140495086923658,0.7467214663643235,0.26980347694633405,0.7433106575963718,1,1,1,0.4735071806500378,0.4769179894179894,0.5442460317460318
