family,model,arm,n_units,mrr,lo,hi,lift,lift_lo,lift_hi
covered,GPT-4.1-mini,No KG,72,0.2713688639035861,0.24329516644620808,0.3018032361478542,,,
covered,GPT-4.1-mini,PrimeKG,72,0.7829080320399764,0.7130485514035861,0.8490696189741328,0.5115391681363904,0.4379078712889477,0.5795927487507347
covered,GPT-4.1-mini,BioKG,72,0.7446924603174604,0.6725920644106407,0.8144287827013521,0.47332359641387417,0.3954575203924163,0.5483761390358614
covered,GPT-4.1-mini,DRKG,72,0.7080853174603176,0.6304157021604938,0.7797457148368607,0.4367164535567313,0.35998098544973545,0.5085478211346267
covered,Gemini-3.1-Flash-Lite,No KG,72,0.2349408436213992,0.2047547628233392,0.26821453832304526,,,
covered,Gemini-3.1-Flash-Lite,PrimeKG,72,0.8089662330981775,0.73973733281893,0.8716094622648441,0.5740253894767784,0.4973846037257496,0.6440903328924161
covered,Gemini-3.1-Flash-Lite,BioKG,72,0.7892480526161082,0.7228740217151675,0.850860247648442,0.554307208994709,0.4851191165123457,0.6227817735890653
covered,Gemini-3.1-Flash-Lite,DRKG,72,0.7666629923574367,0.6953246252204585,0.8329775683421515,0.5317221487360376,0.4555327059450323,0.604300021127278
covered,Llama-3.3-70B,No KG,72,0.3162680041152263,0.28466566082451494,0.35137060920047025,,,
covered,Llama-3.3-70B,PrimeKG,72,0.6996389991181657,0.6342666078777189,0.7649310148442093,0.3833709950029394,0.309801541372722,0.453797490446796
covered,Llama-3.3-70B,BioKG,72,0.6838927469135803,0.6216863242210464,0.7448437729644327,0.3676247427983539,0.29216889880952385,0.43954332929159307
covered,Llama-3.3-70B,DRKG,72,0.656480562904174,0.587738623420047,0.721688115446796,0.3402125587889476,0.2617231132422105,0.41521285732657265
