family,model,arm,n_units,mrr,lo,hi,lift,lift_lo,lift_hi
main,GPT-4.1-mini,No KG,116,0.2615940293742018,0.24091257012862616,0.2832732393723773,,,
main,GPT-4.1-mini,PrimeKG,116,0.7471920041963145,0.6898497080824667,0.8017321057972998,0.4855979748221127,0.4297387851213282,0.5414191781837256
main,GPT-4.1-mini,BioKG,116,0.668923326035395,0.6052591765873017,0.7304144430760809,0.40732929666119333,0.3430556268244846,0.47125945025998917
main,GPT-4.1-mini,DRKG,116,0.6361122514139755,0.5703385986818099,0.703839855865718,0.3745182220397738,0.3084747451423098,0.44110704878215656
main,Gemini-3.1-Flash-Lite,No KG,116,0.2280434683451925,0.20508384076810796,0.25348137315270935,,,
main,Gemini-3.1-Flash-Lite,PrimeKG,116,0.7795931399379676,0.723506830414158,0.8340410765599342,0.551549671592775,0.49357446462780513,0.6074884829410692
main,Gemini-3.1-Flash-Lite,BioKG,116,0.7196000957854407,0.6602420292829775,0.7779220118363438,0.49155662744024814,0.4320528159779237,0.5505093305281883
main,Gemini-3.1-Flash-Lite,DRKG,116,0.6870501505199781,0.6207650719531106,0.7493866453430029,0.45900668217478563,0.3927559552317095,0.5219200134555739
main,Llama-3.3-70B,No KG,116,0.30430236270753513,0.2796898376208721,0.33167899619138835,,,
main,Llama-3.3-70B,PrimeKG,116,0.658953087940157,0.6030242257343549,0.7121908638934501,0.3546507252326218,0.2966192443212917,0.41156188708721037
main,Llama-3.3-70B,BioKG,116,0.6121117268746579,0.5556746316821747,0.6646281757434775,0.3078093641671228,0.24579895320197045,0.36802166005291
main,Llama-3.3-70B,DRKG,116,0.5901968162744023,0.5314010616219668,0.648628272669221,0.2858944535668674,0.22290859902390073,0.35113290514960777
