model,disease,biokg,drkg,none,primekg
GPT-4.1-mini,1L biliary tract cancer (+gemcitabine+cisplatin),0.48148148148148145,0.8333333333333334,0.3160493827160493,0.49074074074074076
GPT-4.1-mini,Acute HCV pediatric,0.17050264550264546,0.1756613756613756,0.2205026455026455,0.276984126984127
GPT-4.1-mini,Advanced RCC after PD-1/PD-L1 + VEGF-TKI,0.8333333333333334,0.48148148148148145,0.37914462081128747,0.8492063492063492
GPT-4.1-mini,Agitation associated with Alzheimer's dementia,0.8865740740740741,0.7074074074074074,0.4063932980599647,0.6925925925925926
GPT-4.1-mini,Allergic fungal rhinosinusitis (AFRS) ≥6yr,1.0,1.0,0.2848324514991181,1.0
GPT-4.1-mini,BRAF V600E metastatic NSCLC,1.0,0.9012345679012346,0.4141975308641975,1.0
GPT-4.1-mini,BRAF+ thyroid cancer,0.7847222222222222,0.79320987654321,0.21812169312169308,1.0
GPT-4.1-mini,Biliary tract cancer,0.4279100529100529,0.7222222222222222,0.31494708994709,0.7777777777777778
GPT-4.1-mini,Biliary tract cancer 1L,0.4388888888888889,0.27685185185185185,0.2748236331569665,0.5555555555555556
GPT-4.1-mini,CKD in T2D,0.9027777777777778,0.6759259259259259,0.15229276895943564,0.8703703703703703
GPT-4.1-mini,COPD,0.5740740740740741,0.537037037037037,0.3800705467372134,0.6111111111111112
GPT-4.1-mini,COPD (EMA 2025),0.4666666666666667,0.5037037037037037,0.39550264550264547,0.46772486772486777
GPT-4.1-mini,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),0.22619047619047616,0.14748677248677244,0.2752645502645502,0.15410052910052907
GPT-4.1-mini,Chorea associated with Huntington's disease,0.21865079365079362,0.48716931216931214,0.191358024691358,0.27698412698412694
GPT-4.1-mini,Chronic hepatitis B (pediatric),0.18835978835978834,0.14814814814814808,0.3883597883597883,0.21296296296296294
GPT-4.1-mini,Chronic kidney disease,0.1974867724867725,0.8333333333333334,0.5030864197530864,0.19444444444444442
GPT-4.1-mini,Chronic lymphocytic leukemia,0.8703703703703703,0.6944444444444444,0.22835097001763666,0.845679012345679
