model,pair_id,biokg,drkg,none,primekg
GPT-4.1-mini,1,0.8666666666666667,0.8333333333333334,0.27546296296296297,1.0
GPT-4.1-mini,2,1.0,1.0,0.14649470899470898,1.0
GPT-4.1-mini,3,0.611111111111111,0.12797619047619047,0.1395502645502645,0.8888888888888888
GPT-4.1-mini,4,1.0,1.0,0.1791666666666666,1.0
GPT-4.1-mini,5,0.13095238095238093,0.125,0.31011904761904757,0.9166666666666666
GPT-4.1-mini,6,0.46296296296296297,1.0,0.33796296296296297,0.7152777777777777
GPT-4.1-mini,7,0.6904761904761904,1.0,0.14252645502645497,0.6388888888888888
GPT-4.1-mini,8,0.8518518518518517,0.8888888888888888,0.21917989417989417,0.5625
GPT-4.1-mini,9,0.2738095238095238,0.125,0.18948412698412695,0.3363095238095238
GPT-4.1-mini,10,1.0,1.0,0.23769841269841266,1.0
GPT-4.1-mini,11,0.25277777777777777,0.21428571428571427,0.20039682539682535,0.16296296296296295
GPT-4.1-mini,12,0.9166666666666666,0.8541666666666666,0.3578042328042328,0.8571428571428571
GPT-4.1-mini,13,1.0,1.0,0.19212962962962962,0.8333333333333334
GPT-4.1-mini,14,0.8333333333333334,0.12797619047619047,0.15244708994708991,0.8541666666666666
GPT-4.1-mini,15,0.3055555555555555,0.12797619047619047,0.22817460317460314,0.4185185185185185
GPT-4.1-mini,16,0.125,0.12797619047619047,0.1953703703703704,0.6851851851851851
GPT-4.1-mini,17,0.23769841269841266,0.9166666666666666,0.3148148148148148,0.9166666666666666
GPT-4.1-mini,18,0.1726190476190476,0.14087301587301584,0.1273148148148148,0.15694444444444444
GPT-4.1-mini,19,0.14583333333333334,0.12566137566137567,0.20297619047619045,0.15462962962962962
GPT-4.1-mini,20,1.0,0.8333333333333334,0.16686507936507933,1.0
GPT-4.1-mini,21,1.0,1.0,0.18333333333333335,1.0
GPT-4.1-mini,22,1.0,1.0,0.4421296296296296,1.0
GPT-4.1-mini,23,0.125,0.12797619047619047,0.3125,1.0
GPT-4.1-mini,24,0.5694444444444444,0.47222222222222215,0.33928571428571425,0.6488095238095238
GPT-4.1-mini,25,0.7777777777777778,0.4513888888888889,0.16269841269841268,0.9166666666666666
GPT-4.1-mini,26,0.7685185185185185,1.0,0.21130952380952375,0.9166666666666666
GPT-4.1-mini,27,0.16726190476190472,0.13095238095238093,0.16593915343915341,1.0
GPT-4.1-mini,28,0.21805555555555556,0.9166666666666666,0.22222222222222218,0.8888888888888888
GPT-4.1-mini,29,1.0,1.0,0.45601851851851843,0.8611111111111112
GPT-4.1-mini,30,1.0,1.0,0.41435185185185186,0.8518518518518517
GPT-4.1-mini,31,0.9166666666666666,0.6527777777777778,0.2478835978835979,1.0
GPT-4.1-mini,32,0.125,0.1875,0.24027777777777778,0.8333333333333334
GPT-4.1-mini,33,1.0,0.9166666666666666,0.15972222222222218,1.0
GPT-4.1-mini,34,0.13095238095238093,0.12797619047619047,0.22288359788359788,0.12797619047619047
GPT-4.1-mini,35,1.0,1.0,0.17843915343915343,1.0
GPT-4.1-mini,36,0.12268518518518519,0.125,0.13855820105820102,0.21574074074074076
GPT-4.1-mini,37,1.0,0.638888888888889,0.40277777777777773,1.0
GPT-4.1-mini,38,0.12797619047619047,0.125,0.1574074074074074,0.19047619047619047
GPT-4.1-mini,39,0.21018518518518517,0.125,0.14880952380952375,0.2611111111111111
GPT-4.1-mini,40,0.9166666666666666,1.0,0.4497354497354497,1.0
GPT-4.1-mini,41,0.8541666666666666,1.0,0.42956349206349204,0.8541666666666666
GPT-4.1-mini,42,1.0,0.8541666666666666,0.37592592592592594,0.22777777777777775
GPT-4.1-mini,43,0.45601851851851855,0.2923280423280423,0.2175925925925926,0.5154761904761905
GPT-4.1-mini,44,1.0,0.1326058201058201,0.2902777777777778,0.8541666666666666
GPT-4.1-mini,45,0.16428571428571426,0.15575396825396823,0.1597222222222222,0.12797619047619047
GPT-4.1-mini,46,1.0,1.0,0.35185185185185186,1.0
GPT-4.1-mini,47,0.861111111111111,0.39444444444444443,0.20833333333333334,0.4166666666666667
GPT-4.1-mini,48,0.8666666666666667,0.8333333333333334,0.4407407407407407,1.0
GPT-4.1-mini,49,1.0,1.0,0.21917989417989417,1.0
GPT-4.1-mini,50,1.0,0.9166666666666666,0.3224206349206349,0.7083333333333334
GPT-4.1-mini,51,0.5611111111111111,0.3611111111111111,0.21851851851851853,0.2824074074074074
GPT-4.1-mini,52,0.6166666666666667,0.21428571428571427,0.19047619047619047,0.2611111111111111
GPT-4.1-mini,53,0.6666666666666666,0.8333333333333334,0.30092592592592593,1.0
GPT-4.1-mini,54,0.9166666666666666,0.5750000000000001,0.2625,1.0
GPT-4.1-mini,55,1.0,0.5462962962962963,0.3078703703703704,1.0
GPT-4.1-mini,56,0.5333333333333333,0.7222222222222222,0.47685185185185186,0.6805555555555555
GPT-4.1-mini,57,0.5793650793650794,1.0,0.44768518518518513,1.0
GPT-4.1-mini,58,0.8518518518518517,1.0,0.15066137566137563,1.0
GPT-4.1-mini,59,1.0,1.0,0.1534391534391534,1.0
GPT-4.1-mini,60,1.0,0.7083333333333334,0.12037037037037036,0.7777777777777778
GPT-4.1-mini,61,0.12797619047619047,0.13749999999999998,0.1349206349206349,1.0
GPT-4.1-mini,62,0.8333333333333334,1.0,0.1782407407407407,0.9166666666666666
GPT-4.1-mini,63,0.9166666666666666,0.8518518518518517,0.13789682539682538,0.611111111111111
GPT-4.1-mini,64,1.0,0.13194444444444445,0.4236111111111111,1.0
GPT-4.1-mini,65,1.0,1.0,0.3990740740740741,1.0
GPT-4.1-mini,66,0.8333333333333334,1.0,0.18306878306878305,0.9166666666666666
GPT-4.1-mini,67,0.13095238095238093,0.12797619047619047,0.18518518518518515,0.125
GPT-4.1-mini,68,0.13789682539682538,1.0,0.3157407407407407,0.13095238095238093
GPT-4.1-mini,69,0.6851851851851851,0.8888888888888888,0.1326058201058201,1.0
GPT-4.1-mini,70,1.0,1.0,0.20039682539682535,1.0
GPT-4.1-mini,71,1.0,0.8518518518518517,0.36871693121693117,1.0
GPT-4.1-mini,72,1.0,1.0,0.35019841269841273,1.0
GPT-4.1-mini,73,0.9166666666666666,0.12797619047619047,0.3194444444444444,1.0
GPT-4.1-mini,74,0.75,0.125,0.16567460317460314,0.9166666666666666
GPT-4.1-mini,75,1.0,1.0,0.2518518518518518,1.0
GPT-4.1-mini,76,0.75,0.3527777777777778,0.1273148148148148,0.6458333333333334
GPT-4.1-mini,77,0.8333333333333334,0.5472222222222222,0.13882275132275132,0.8333333333333334
GPT-4.1-mini,78,1.0,1.0,0.23611111111111108,1.0
