kg,condition,auroc,ci_lo,ci_hi,n_pos,n_neg
biokg,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
biokg,C1_direct,0.799579831932773,0.6943243211292038,0.9048353427363423,28.0,85.0
biokg,C2_paths,0.917016806722689,0.844130104822384,0.989903508622994,28.0,85.0
drkg,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
drkg,C1_direct,0.9456673168013374,0.8934834157045122,0.9978512178981627,37.0,97.0
drkg,C2_paths,0.8293396489272777,0.7425063206098962,0.9161729772446593,37.0,97.0
hetionet,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
hetionet,C1_direct,0.75,0.4359737272137887,1.0,6.0,4.0
hetionet,C2_paths,0.6875,0.34492097593185667,1.0,6.0,4.0
matrix,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
matrix,C1_direct,0.8680555555555556,0.7893045190268158,0.9468065920842954,36.0,108.0
matrix,C2_paths,0.7156635802469136,0.6120632343706355,0.8192639261231917,36.0,108.0
openbilink,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
openbilink,C1_direct,0.8533834586466166,0.7684924057271669,0.9382745115660662,35.0,76.0
openbilink,C2_paths,0.8610902255639097,0.7781225611731346,0.9440578899546848,35.0,76.0
primekg,C0_no_kg,0.8246666666666668,0.7498145484832611,0.8995187848500724,50.0,150.0
primekg,C1_direct,0.8082857142857143,0.7305733923132425,0.8859980362581861,50.0,140.0
primekg,C2_paths,0.824,0.7487606862122191,0.8992393137877808,50.0,140.0
