disease,mrr_kg,hit1_kg,conf,n,mrr_nokg,lift,mrr_gpt,mrr_gemini,mrr_llama,frac_consistent,disease_name,drug,area,disease_id,n_eval_kgs
COVID-19 updated strain,0.1430,0.0000,1.0000,53,0.2071,-0.0641,0.1478,0.1292,0.1513,0.0000,COVID-19 updated strain,mRNA-1273,Infectious,DOID:0080599,1.0000
Obstructive sleep apnea with obesity,0.1482,0.0000,1.0000,54,0.1835,-0.0353,0.1290,0.1310,0.1848,0.0000,Obstructive sleep apnea with obesity,tirzepatide,Metabolic,DOID:0050848,3.0000
First-line anemia in lower-risk MDS,0.1618,0.0093,1.0288,107,0.2081,-0.0463,0.1357,0.1361,0.2129,0.0000,First-line anemia in lower-risk MDS,luspatercept,Hematology,DOID:0050908,3.0000
CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),0.1765,0.0377,1.0769,53,0.1890,-0.0125,0.1316,0.1425,0.2535,0.0000,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),tezepelumab,Immunology,DOID:0110597,3.0000
HoFH in children,0.1804,0.0377,1.1020,53,0.2187,-0.0383,0.2450,0.1320,0.1616,0.0000,HoFH in children,evinacumab,Metabolic,DOID:0090105,1.0000
HoFH pediatric (EMA),0.1834,0.0185,1.0196,54,0.1815,0.0018,0.1493,0.2130,0.1878,0.0000,HoFH pediatric (EMA),evinacumab,Metabolic,DOID:0090105,1.0000
Spinal muscular atrophy (pediatric expansion),0.1843,0.0189,1.1020,53,0.1604,0.0239,0.1570,0.2213,0.1732,0.0377,Spinal muscular atrophy (pediatric expansion),risdiplam,CNS,DOID:12377,1.0000
COVID-19 (expanded population),0.1925,0.0000,1.4231,53,0.1528,0.0397,0.2088,0.1660,0.2011,0.1509,COVID-19 (expanded population),remdesivir,Infectious,DOID:0080599,1.0000
Heart failure (broadened),0.1964,0.0000,1.5490,54,0.2246,-0.0282,0.2100,0.1839,0.1953,0.1852,Heart failure (broadened),dapagliflozin,Cardiovascular,SYMP:0000292,3.0000
Acquired hypofibrinogenemia in cardiovascular surgery,0.2047,0.0370,1.0385,54,0.2570,-0.0523,0.1895,0.2176,0.2069,0.0000,Acquired hypofibrinogenemia in cardiovascular surgery,fibrinogen,Hematology,DOID:2219,1.0000
Delay T1D onset in children ≥1yr,0.2108,0.0755,1.1176,53,0.3231,-0.1124,0.1925,0.2414,0.2003,0.0000,Delay T1D onset in children ≥1yr,teplizumab-mzwv,Metabolic,DOID:9744,3.0000
PKU expanded to ≥12yr,0.2254,0.0741,1.0192,54,0.2318,-0.0064,0.1467,0.3166,0.2128,0.0000,PKU expanded to ≥12yr,pegvaliase-pqpz,Metabolic,DOID:9281,3.0000
Chronic hepatitis B (pediatric),0.2371,0.0370,1.4118,54,0.1964,0.0406,0.1988,0.2673,0.2451,0.1667,Chronic hepatitis B (pediatric),tenofovir alafenamide,Infectious,DOID:2043,3.0000
Chorea associated with Huntington's disease,0.2813,0.1296,1.6038,54,0.1769,0.1044,0.1568,0.4276,0.2595,0.1111,Chorea associated with Huntington's disease,valbenazine,CNS,DOID:12858,3.0000
COVID-19 in severe renal impairment/dialysis,0.2986,0.0741,1.9000,54,0.2364,0.0622,0.2840,0.3819,0.2298,0.2593,COVID-19 in severe renal impairment/dialysis,remdesivir,Infectious,DOID:0080599,1.0000
dMMR recurrent/advanced endometrial cancer,0.3366,0.2037,1.9038,54,0.2068,0.1298,0.3909,0.4382,0.1809,0.1852,dMMR recurrent/advanced endometrial cancer,dostarlimab,Oncology,DOID:1380,2.0000
dMMR/MSI-H primary advanced endometrial cancer (+chemo),0.3609,0.2407,2.0192,54,0.2321,0.1288,0.3127,0.4720,0.2980,0.2407,dMMR/MSI-H primary advanced endometrial cancer (+chemo),dostarlimab,Oncology,DOID:1380,2.0000
dMMR/MSI-H primary advanced endometrial cancer,0.3716,0.2407,1.9800,54,0.2589,0.1128,0.3819,0.3866,0.3464,0.2037,dMMR/MSI-H primary advanced endometrial cancer,dostarlimab,Oncology,DOID:1380,2.0000
HR+/HER2- breast cancer,0.3736,0.1698,2.1154,53,0.2773,0.0962,0.3724,0.5403,0.2173,0.2264,HR+/HER2- breast cancer,sacituzumab govitecan,Oncology,DOID:1612,2.0000
High LDL-C with increased CV risk (expanded),0.4116,0.3148,2.2830,54,0.2031,0.2085,0.4327,0.4196,0.3824,0.3148,High LDL-C with increased CV risk (expanded),inclisiran,Cardiovascular,DOID:13810,1.0000
Ph+ CML-CP after 2+ TKIs,0.4205,0.3208,2.2830,53,0.2496,0.1708,0.4229,0.3855,0.4511,0.3208,Ph+ CML-CP after 2+ TKIs,asciminib,Oncology,DOID:0081088,2.0000
HR+/HER2-low breast cancer,0.4246,0.2037,2.4118,54,0.2219,0.2027,0.3640,0.6052,0.3044,0.4259,HR+/HER2-low breast cancer,trastuzumab deruxtecan,Oncology,DOID:1612,2.0000
Retinal vein occlusion,0.4369,0.3426,2.3241,108,0.2452,0.1916,0.4216,0.4312,0.4577,0.3333,Retinal vein occlusion,faricimab,Ophthalmology,DOID:1727,2.0000
LDL-C elevation in statin-intolerant dyslipidemia,0.4455,0.3396,2.3137,53,0.1734,0.2721,0.4177,0.3961,0.5199,0.3208,LDL-C elevation in statin-intolerant dyslipidemia,pemafibrate,Cardiovascular,DOID:3146,1.0000
Follicular lymphoma,0.4504,0.3519,2.3208,54,0.2146,0.2358,0.4218,0.4314,0.4980,0.3148,Follicular lymphoma,tafasitamab,Oncology,DOID:0050873,3.0000
Ph+ CML-CP frontline (EMA Feb 2026),0.4567,0.3585,2.3774,53,0.1456,0.3111,0.4529,0.4385,0.4786,0.3396,Ph+ CML-CP frontline (EMA Feb 2026),asciminib,Oncology,DOID:0081088,2.0000
Diabetic retinopathy/DME (EMA Mar+May 2026),0.4659,0.3704,2.4118,54,0.2431,0.2228,0.4200,0.4238,0.5540,0.3333,Diabetic retinopathy/DME (EMA Mar+May 2026),faricimab,Ophthalmology,DOID:8947,1.0000
Nephrotic syndrome,0.4660,0.2593,2.1296,54,0.5494,-0.0834,0.4366,0.5963,0.3649,0.1667,Nephrotic syndrome,rituximab,Nephrology,DOID:1184,3.0000
HER2+ solid tumors (tumor-agnostic),0.4884,0.2222,2.4151,54,0.2586,0.2298,0.4015,0.6111,0.4526,0.4074,HER2+ solid tumors (tumor-agnostic),trastuzumab deruxtecan,Oncology,DOID:7360,2.0000
Acute HCV pediatric,0.5177,0.2500,2.1569,52,0.1659,0.3517,0.4787,0.6271,0.4593,0.2500,Acute HCV pediatric,glecaprevir/pibrentasvir,Infectious,DOID:684,3.0000
HER2+ early-stage BC (neoadjuvant + adjuvant),0.5290,0.2963,2.4615,54,0.1835,0.3455,0.4545,0.6543,0.4784,0.4074,HER2+ early-stage BC (neoadjuvant + adjuvant),trastuzumab deruxtecan,Oncology,DOID:1612,2.0000
Generalized myasthenia gravis,0.5384,0.3889,2.6111,54,0.2639,0.2746,0.5972,0.6250,0.3931,0.3704,Generalized myasthenia gravis,inebilizumab,Immunology,DOID:437,3.0000
COPD (EMA 2025),0.5690,0.3208,2.9434,53,0.1784,0.3907,0.7380,0.4873,0.4774,0.4906,COPD (EMA 2025),dupilumab,Immunology,DOID:3083,3.0000
1L biliary tract cancer (+gemcitabine+cisplatin),0.5728,0.3585,2.8302,53,0.2511,0.3217,0.5635,0.8088,0.3593,0.2264,1L biliary tract cancer (+gemcitabine+cisplatin),pembrolizumab,Oncology,DOID:4607,3.0000
COPD,0.5778,0.3585,2.7547,53,0.1634,0.4144,0.5829,0.6539,0.5009,0.4151,COPD,dupilumab,Immunology,DOID:3083,3.0000
Cerebral folate transport deficiency,0.5836,0.3962,1.9423,53,0.5864,-0.0028,0.5959,0.6732,0.4866,0.1887,Cerebral folate transport deficiency,leucovorin calcium,CNS,DOID:0050719,1.0000
HER2-mutant NSCLC (EMA),0.5974,0.4630,2.0577,54,0.3627,0.2346,0.4213,0.8981,0.4727,0.2222,HER2-mutant NSCLC (EMA),trastuzumab deruxtecan,Oncology,DOID:3908,3.0000
HER2-mutant NSCLC (PMDA),0.6200,0.4444,2.0741,54,0.2504,0.3695,0.5574,0.8611,0.4413,0.2593,HER2-mutant NSCLC (PMDA),trastuzumab deruxtecan,Oncology,DOID:3908,3.0000
Indolent systemic mastocytosis,0.6368,0.5556,3.5000,54,0.2187,0.4181,0.6052,0.6878,0.6175,0.6296,Indolent systemic mastocytosis,avapritinib,Hematology,DOID:349,2.0000
