Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,key,in_final,status
1,Tukysa,tucatinib,DB11652,51039094,2020,RAS wild-type HER2+ metastatic colorectal cancer,MONDO:0024331,D015179,DOID:0080199,FDA,Oncology,Oncology,True,True,2023,complete,DB11652|DOID:0080199,True,kept
2,Brukinsa,zanubrutinib,DB15035,135565884,2019,Chronic lymphocytic leukemia,MONDO:0004948,D015451,DOID:1040,FDA,Oncology,Oncology,True,True,2023,complete,DB15035|DOID:1040,True,kept
3,Keytruda,pembrolizumab,DB09037,,2014,Adjuvant NSCLC (stage IB-IIIA),MONDO:0005233,D002289,DOID:3908,"FDA, EMA",Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:3908,False,dropped
4,Trodelvy,sacituzumab govitecan,DB12893,,2020,HR+/HER2- metastatic breast cancer,MONDO:0007254,D000072656,DOID:1612,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB12893|DOID:1612,True,kept
5,Eylea,aflibercept,DB08885,,2011,Retinopathy of prematurity,MONDO:0006952,D012178,DOID:13025,FDA,Ophthalmology,Ophthalmology,True,True,2023,missing_PubChem,DB08885|DOID:13025,True,kept
6,Jemperli,dostarlimab,DB15627,,2021,dMMR recurrent/advanced endometrial cancer,MONDO:0011962,D016889,DOID:1380,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB15627|DOID:1380,True,kept
7,Kevzara,sarilumab,DB11767,,2017,Polymyalgia rheumatica,MONDO:0019735,D011111,DOID:853,FDA,Immunology,Immunology,True,True,2023,missing_PubChem,DB11767|DOID:853,True,kept
8,Verzenio,abemaciclib,DB12001,46220502,2017,HR+/HER2- node-positive high-risk early breast cancer,MONDO:0007254,D000072656,DOID:1612,FDA,Oncology,Oncology,True,True,2023,complete,DB12001|DOID:1612,True,kept
9,Tafinlar+Mekinist,dabrafenib+trametinib,"DB08912,DB08911","44462760,11707110",2014,Pediatric BRAF V600E low-grade glioma,MONDO:0021637,,DOID:0060101,FDA,Oncology,Oncology,True,True,2023,missing_MeSH,"DB08912,DB08911|DOID:0060101",False,dropped
10,Evkeeza,evinacumab,DB15354,,2021,HoFH in children,MONDO:0018328,D000090542,DOID:0090105,FDA,Metabolic,Metabolic,True,True,2023,missing_PubChem,DB15354|DOID:0090105,True,kept
11,Keytruda,pembrolizumab,DB09037,,2014,MSI-H/dMMR solid tumors (full approval conversion),MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,False,True,2023,missing_PubChem,DB09037|DOID:7360,True,kept
12,Keytruda+Padcev,pembrolizumab+enfortumab vedotin,"DB09037,DB13007",",",2014,1L locally advanced/metastatic urothelial cancer,MONDO:0040679,D001749,DOID:4006,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,"DB09037,DB13007|DOID:4006",False,dropped
13,Qulipta,atogepant,DB16098,72163100,2021,Chronic migraine,MONDO:0043537,D003027,DOID:6364,FDA,CNS,CNS,True,True,2023,complete,DB16098|DOID:6364,False,dropped
14,Trikafta,elexacaftor/tezacaftor/ivacaftor+ivacaftor,"DB15444,DB11712,DB08820,DB08820","134587348,46199646,16220172,16220172",2019,CF in children ages 2-5,MONDO:0009061,D003550,DOID:1485,FDA,Respiratory,Respiratory,False,True,2023,complete,"DB15444,DB11712,DB08820,DB08820|DOID:1485",False,dropped
15,Farxiga,dapagliflozin,DB06292,9887712,2014,Heart failure (broadened),MONDO:0005252,D006333,SYMP:0000292,FDA,Cardiovascular,Cardiovascular,True,True,2023,complete,DB06292|SYMP:0000292,True,kept
16,Rexulti,brexpiprazole,DB09128,11978813,2015,Agitation associated with Alzheimer's dementia,MONDO:0004975,D000544,DOID:10652,FDA,CNS,CNS,True,True,2023,complete,DB09128|DOID:10652,True,kept
17,Rinvoq,upadacitinib,DB15091,58557659,2019,Crohn's disease,MONDO:0005011,D003424,DOID:8778,FDA,Immunology,Immunology,True,True,2023,complete,DB15091|DOID:8778,True,kept
18,Ayvakit,avapritinib,DB15233,118023034,2020,Indolent systemic mastocytosis,MONDO:0016586,D034721,DOID:349,FDA,Hematology,Hematology,True,True,2023,complete,DB15233|DOID:349,True,kept
19,Lynparza,olaparib,DB09074,23725625,2014,BRCA-mutated mCRPC (+abiraterone),MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,DB09074|DOID:10283,False,dropped
20,Prevymis,letermovir,DB12070,45138674,2017,CMV disease prevention in kidney transplant recipients,MONDO:0005132,D003586,DOID:0080827,FDA,Infectious,Infectious,True,True,2023,complete,DB12070|DOID:0080827,False,dropped
21,Talzenna+Xtandi,talazoparib+enzalutamide,"DB11760,DB08899","135565082,15951529",2018,HRR gene-mutated mCRPC,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,"DB11760,DB08899|DOID:10283",False,dropped
22,Blincyto,blinatumomab,DB09052,,2014,MRD+ B-cell precursor ALL (full approval),MONDO:0004967,D054198,DOID:9952,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09052|DOID:9952,False,dropped
23,Jardiance,empagliflozin,DB09038,11949646,2014,Type 2 diabetes in children 10+,MONDO:0005148,D003924,DOID:9352,FDA,Metabolic,Metabolic,False,True,2023,complete,DB09038|DOID:9352,False,dropped
24,Veklury,remdesivir,DB14761,121304016,2020,COVID-19 in severe renal impairment/dialysis,MONDO:0100320,D000086382,DOID:0080599,FDA,Infectious,Infectious,False,True,2023,complete,DB14761|DOID:0080599,True,kept
25,Jemperli,dostarlimab,DB15627,,2021,dMMR/MSI-H primary advanced endometrial cancer (+chemo),MONDO:0011962,D016889,DOID:1380,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB15627|DOID:1380,True,kept
26,Lonsurf+Avastin,trifluridine/tipiracil+bevacizumab,"DB00432,DB02631,DB00112","6256,6323266,",2015,Metastatic colorectal cancer,MONDO:0024331,D015179,DOID:0080199,FDA,Oncology,Oncology,True,True,2023,partial_PubChem,"DB00432,DB02631,DB00112|DOID:0080199",False,dropped
27,Gavreto,pralsetinib,DB15822,129073603,2020,NSCLC with RET gene fusions (regular approval),MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,complete,DB15822|DOID:3908,False,dropped
28,Ingrezza,valbenazine,DB11915,24795069,2017,Chorea associated with Huntington's disease,MONDO:0007739,D006816,DOID:12858,FDA,CNS,CNS,True,True,2023,complete,DB11915|DOID:12858,True,kept
29,Reblozyl,luspatercept,DB12281,,2019,First-line anemia in lower-risk MDS,MONDO:0018881,D009190,DOID:0050908,FDA,Hematology,Hematology,True,True,2023,missing_PubChem,DB12281|DOID:0050908,True,kept
30,Bosulif,bosutinib,DB06616,5328940,2012,Pediatric Ph+ CML-CP,MONDO:0011996,D015464,DOID:0081088,FDA,Oncology,Oncology,True,True,2023,complete,DB06616|DOID:0081088,False,dropped
31,Entyvio,vedolizumab,DB09033,,2014,Subcutaneous maintenance UC,MONDO:0005101,D003093,DOID:8577,FDA,Immunology/GI,Immunology,False,True,2023,missing_PubChem,DB09033|DOID:8577,False,dropped
32,Cosentyx,secukinumab,DB09029,,2015,Hidradenitis suppurativa,MONDO:0006559,D017497,DOID:2280,FDA,Immunology/Dermatology,Immunology,True,True,2023,missing_PubChem,DB09029|DOID:2280,True,kept
33,Braftovi+Mektovi,encorafenib+binimetinib,"DB11718,DB11967","50922675,10288191",2018,BRAF V600E metastatic NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,complete,"DB11718,DB11967|DOID:3908",False,dropped
34,Opdivo,nivolumab,DB09035,,2014,Adjuvant stage IIB/IIC melanoma,MONDO:0005105,D008545,DOID:1909,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09035|DOID:1909,False,dropped
35,Keytruda,pembrolizumab,DB09037,,2014,Neoadj+adj resectable NSCLC,MONDO:0005233,D002289,DOID:3908,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:3908,False,dropped
36,Rozlytrek,entrectinib,DB11986,25141092,2019,Pediatric NTRK fusion solid tumors,MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,True,True,2023,complete,DB11986|DOID:7360,False,dropped
37,Tibsovo,ivosidenib,DB14568,71657455,2018,IDH1-mutated relapsed/refractory MDS,MONDO:0018881,D009190,DOID:0050908,FDA,Oncology,Oncology,True,True,2023,complete,DB14568|DOID:0050908,True,kept
38,Vabysmo,faricimab,DB15303,,2022,Retinal vein occlusion,MONDO:0006951,D012170,DOID:1727,FDA,Ophthalmology,Ophthalmology,True,True,2023,missing_PubChem,DB15303|DOID:1727,True,kept
39,Keytruda,pembrolizumab,DB09037,,2014,1L biliary tract cancer (+gemcitabine+cisplatin),MONDO:0003060,D001661,DOID:4607,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:4607,True,kept
40,Xtandi,enzalutamide,DB08899,15951529,2012,Non-metastatic castration-sensitive prostate cancer with BCR,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,DB08899|DOID:10283,False,dropped
41,Keytruda,pembrolizumab,DB09037,,2014,1L HER2- gastric/GEJ adenocarcinoma (+chemo),MONDO:0005036,D013274,DOID:3717,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,DB09037|DOID:3717,False,dropped
42,Welireg,belzutifan,DB15463,117947097,2021,Advanced RCC after PD-1/PD-L1 + VEGF-TKI,MONDO:0005086,D002292,DOID:4450,FDA,Oncology,Oncology,True,True,2023,complete,DB15463|DOID:4450,True,kept
43,Padcev+Keytruda,enfortumab vedotin+pembrolizumab,"DB13007,DB09037",",",2019,Advanced bladder cancer (1L+ later lines),MONDO:0004986,D001749,DOID:4007,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,"DB13007,DB09037|DOID:4007",False,dropped
44,Yescarta,axicabtagene ciloleucel,,,2017,2L+ DLBCL (expanded),MONDO:0018905,D016403,DOID:0050745,FDA,Oncology,Oncology,True,True,2023,missing_DrugBank|missing_PubChem,nan|DOID:0050745,False,dropped
45,Cresemba,isavuconazonium sulfate,DB06636,72196309,2015,Pediatric invasive aspergillosis/mucormycosis,MONDO:0000240,,DOID:0050073,FDA,Infectious,Infectious,True,True,2023,missing_MeSH,DB06636|DOID:0050073,False,dropped
46,Lodoco,colchicine,DB08117,6167,2009,Cardiovascular risk reduction (first anti-inflammatory CV drug),MONDO:0004995,D002318,DOID:1287,FDA,Cardiovascular,Cardiovascular,True,True,2023,complete,DB08117|DOID:1287,False,dropped
47,Akeega,niraparib+abiraterone acetate,"DB11793,DB05812","24958200,9821849",2017,BRCA-mutated mCRPC,MONDO:0008315,D011471,DOID:10283,FDA,Oncology,Oncology,True,True,2023,complete,"DB11793,DB05812|DOID:10283",False,dropped
48,Injectafer,ferric carboxymaltose,DB08917,,2013,Iron deficiency in heart failure,MONDO:0001356,D018798,DOID:11758,FDA,Cardiovascular,Cardiovascular,True,True,2023,missing_PubChem,DB08917|DOID:11758,False,dropped
49,Bylvay,odevixibat,DB16261,10153627,2021,Alagille syndrome cholestatic pruritus,MONDO:0007318,D016738,DOID:9245,FDA,GI/Metabolic,GI/Metabolic,True,True,2023,complete,DB16261|DOID:9245,False,dropped
50,Linzess,linaclotide,DB08890,16158208,2012,Functional constipation in pediatric patients 6-17,MONDO:0005052,D043183,DOID:9778,FDA,GI,GI,False,True,2023,complete,DB08890|DOID:9778,False,dropped
51,Zoryve,roflumilast,DB01656,449193,2011,Psoriasis in children 6-11 (cream),MONDO:0005083,D011565,DOID:8893,FDA,Dermatology,Immunology,False,True,2023,complete,DB01656|DOID:8893,True,kept
