Pair_ID,Drug,Active,NewIndication,TA_simplified,YearSet,DrugBank_ID,MONDO_ID,DOID_ID,StrictRepurposing,leaked
3,Keytruda,pembrolizumab,Adjuvant NSCLC (stage IB-IIIA),Oncology,2023,DB09037,MONDO:0005233,DOID:3908,True,True
19,Lynparza,olaparib,BRCA-mutated mCRPC (+abiraterone),Oncology,2023,DB09074,MONDO:0008315,DOID:10283,True,True
20,Prevymis,letermovir,CMV disease prevention in kidney transplant recipients,Infectious,2023,DB12070,MONDO:0005132,DOID:0080827,True,True
22,Blincyto,blinatumomab,MRD+ B-cell precursor ALL (full approval),Oncology,2023,DB09052,MONDO:0004967,DOID:9952,True,True
23,Jardiance,empagliflozin,Type 2 diabetes in children 10+,Metabolic,2023,DB09038,MONDO:0005148,DOID:9352,False,True
30,Bosulif,bosutinib,Pediatric Ph+ CML-CP,Oncology,2023,DB06616,MONDO:0011996,DOID:0081088,True,True
31,Entyvio,vedolizumab,Subcutaneous maintenance UC,Immunology,2023,DB09033,MONDO:0005101,DOID:8577,False,True
34,Opdivo,nivolumab,Adjuvant stage IIB/IIC melanoma,Oncology,2023,DB09035,MONDO:0005105,DOID:1909,True,True
35,Keytruda,pembrolizumab,Neoadj+adj resectable NSCLC,Oncology,2023,DB09037,MONDO:0005233,DOID:3908,True,True
36,Rozlytrek,entrectinib,Pediatric NTRK fusion solid tumors,Oncology,2023,DB11986,MONDO:0004198,DOID:7360,True,True
40,Xtandi,enzalutamide,Non-metastatic castration-sensitive prostate cancer with BCR,Oncology,2023,DB08899,MONDO:0008315,DOID:10283,True,True
41,Keytruda,pembrolizumab,1L HER2- gastric/GEJ adenocarcinoma (+chemo),Oncology,2023,DB09037,MONDO:0005036,DOID:3717,True,True
45,Cresemba,isavuconazonium sulfate,Pediatric invasive aspergillosis/mucormycosis,Infectious,2023,DB06636,MONDO:0000240,DOID:0050073,True,True
48,Injectafer,ferric carboxymaltose,Iron deficiency in heart failure,Cardiovascular,2023,DB08917,MONDO:0001356,DOID:11758,True,True
50,Linzess,linaclotide,Functional constipation in pediatric patients 6-17,GI,2023,DB08890,MONDO:0005052,DOID:9778,False,True
