Pair_ID,Drug,Active,DrugBank_ID,PubChem_CID,OrigYear,NewIndication,MONDO_ID,MeSH_ID,DOID_ID,Agencies,TA,TA_simplified,StrictRepurposing,Drug_Pre2023,YearSet,ID_Flag,n_present,primekg_drug,drkg_drug,biokg_drug,dkey,leaked,unresolvable,in234,in116,covered,drug_anyKG
1,Tukysa,tucatinib,DB11652,51039094,2020,RAS wild-type HER2+ metastatic colorectal cancer,MONDO:0024331,D015179,DOID:0080199,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB11652|d|80199,False,False,True,True,True,True
2,Brukinsa,zanubrutinib,DB15035,135565884,2019,Chronic lymphocytic leukemia,MONDO:0004948,D015451,DOID:1040,FDA,Oncology,Oncology,True,True,2023,complete,3,True,True,True,DB15035|d|1040,False,False,True,True,True,True
3,Keytruda,pembrolizumab,DB09037,,2014,Adjuvant NSCLC (stage IB-IIIA),MONDO:0005233,D002289,DOID:3908,"FDA, EMA",Oncology,Oncology,True,True,2023,missing_PubChem,3,True,True,True,DB09037|d|3908,True,False,True,False,True,True
4,Trodelvy,sacituzumab govitecan,DB12893,,2020,HR+/HER2- metastatic breast cancer,MONDO:0007254,D000072656,DOID:1612,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,2,True,True,True,DB12893|d|1612,False,False,True,True,True,True
5,Eylea,aflibercept,DB08885,,2011,Retinopathy of prematurity,MONDO:0006952,D012178,DOID:13025,FDA,Ophthalmology,Ophthalmology,True,True,2023,missing_PubChem,3,True,True,True,DB08885|d|13025,False,False,True,True,True,True
6,Jemperli,dostarlimab,DB15627,,2021,dMMR recurrent/advanced endometrial cancer,MONDO:0011962,D016889,DOID:1380,FDA,Oncology,Oncology,True,True,2023,missing_PubChem,1,True,False,False,DB15627|d|1380,False,False,True,True,True,True
7,Kevzara,sarilumab,DB11767,,2017,Polymyalgia rheumatica,MONDO:0019735,D011111,DOID:853,FDA,Immunology,Immunology,True,True,2023,missing_PubChem,3,True,True,True,DB11767|d|853,False,False,True,True,True,True
8,Verzenio,abemaciclib,DB12001,46220502,2017,HR+/HER2- node-positive high-risk early breast cancer,MONDO:0007254,D000072656,DOID:1612,FDA,Oncology,Oncology,True,True,2023,complete,2,True,True,True,DB12001|d|1612,False,False,True,True,True,True
9,Tafinlar+Mekinist,dabrafenib+trametinib,"DB08912,DB08911","44462760,11707110",2014,Pediatric BRAF V600E low-grade glioma,MONDO:0021637,,DOID:0060101,FDA,Oncology,Oncology,True,True,2023,missing_MeSH,0,False,False,False,"DB08912,DB08911|d|60101",False,False,True,False,False,False
10,Evkeeza,evinacumab,DB15354,,2021,HoFH in children,MONDO:0018328,D000090542,DOID:0090105,FDA,Metabolic,Metabolic,True,True,2023,missing_PubChem,1,True,True,True,DB15354|d|90105,False,False,True,True,True,True
11,Keytruda,pembrolizumab,DB09037,,2014,MSI-H/dMMR solid tumors (full approval conversion),MONDO:0004198,D066066,DOID:7360,FDA,Oncology,Oncology,False,True,2023,missing_PubChem,2,True,True,True,DB09037|d|7360,False,False,True,True,True,True
