Pair_ID,Drug,Active,NewIndication,TA_simplified,YearSet,Agencies,DrugBank_ID,MONDO_ID,DOID_ID,MeSH_ID,StrictRepurposing,drop_stage,drop_reason
253,Rysefio,ruseogliflozin,T2D pediatric dosage addition,Metabolic,2024-2026,PMDA,,MONDO:0005148,DOID:9352,D003924,False,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
142,Breyanzi,lisocabtagene maraleucel,Follicular lymphoma 3L+,Oncology,2024-2026,EMA,,MONDO:0018906,DOID:0050873,D008224,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
52,Adbry,tralokinumab,Atopic dermatitis pediatric 12-17,Immunology,2023,FDA,,MONDO:0011596,DOID:0110098,C565293,False,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
138,Carvykti,ciltacabtagene autoleucel,R/R MM (earlier line),Oncology,2024-2026,EMA,,MONDO:0009693,DOID:9538,D009101,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
208,Stelara,ustekinumab,Population expansion (FDA+EMA),Immunology,2024-2026,FDA+EMA,DB05679,,,,False,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
224,Keytruda,pembrolizumab,"New indication (EMA Feb 2026, TBD)",Oncology,2024-2026,EMA,DB09037,,,,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
227,Retsevmo,selpercatinib,"RET-fusion NSCLC expanded (EMA Mar 2026, TBD)",Oncology,2024-2026,EMA,DB15685,MONDO:0005233,DOID:3908,D002289,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
228,Besponsa,inotuzumab ozogamicin,"Ph+ ALL frontline (EMA Mar 2026, TBD)",Oncology,2024-2026,EMA,DB05889,MONDO:0004967,DOID:9952,D054198,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
229,Mekinist,trametinib,"BRAF V600E solid tumors (EMA Mar 2026, TBD)",Oncology,2024-2026,EMA,DB08911,MONDO:0004198,DOID:7360,D066066,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
230,Tafinlar,dabrafenib,"BRAF V600E solid tumors (EMA Mar 2026, TBD)",Oncology,2024-2026,EMA,DB08912,MONDO:0004198,DOID:7360,D066066,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
231,Feraccru,ferric maltol,"Iron deficiency anemia (EMA Mar 2026, TBD)",Hematology,2024-2026,EMA,DB15598,MONDO:0001356,DOID:11758,D018798,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
44,Yescarta,axicabtagene ciloleucel,2L+ DLBCL (expanded),Oncology,2023,FDA,,MONDO:0018905,DOID:0050745,D016403,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
243,Maviret,glecaprevir/pibrentasvir,"HCV pediatric extension (EMA May 2026, TBD)",Infectious,2024-2026,EMA,"DB13879,DB13878",MONDO:0007256,DOID:684,D006528,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
246,Lunsumio,mosunetuzumab,R/R LBCL + FL (new dosage),Oncology,2024-2026,PMDA,,MONDO:0968974,DOID:0081452,D016403,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
233,Namuscla,mexiletine,"Myotonic dystrophy (EMA Mar 2026, TBD)",Cardiovascular,2024-2026,EMA,DB00379,MONDO:0023595,DOID:11722,D009223,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
241,Fasenra,benralizumab,"Eosinophilic esophagitis (EMA May 2026, TBD)",Immunology,2024-2026,EMA,DB12023,MONDO:0005361,DOID:13922,D057765,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
73,Ervebo,Ebola Zaire vaccine,Ebola Zaire (pediatric 1+),Infectious,2023,EMA,,MONDO:0005737,DOID:4325,D019142,False,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
239,Keytruda,pembrolizumab,"Gastric/GEJ cancer (EMA May 2026, TBD)",Oncology,2024-2026,EMA,DB09037,MONDO:0001056,DOID:10534,D013274,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
240,Padcev,enfortumab vedotin,"Muscle-invasive bladder cancer (EMA May 2026, TBD)",Oncology,2024-2026,EMA,DB13007,MONDO:0004986,DOID:4007,D001749,True,1_unresolved_ids,Unresolved IDs (no DrugBank / no disease ID / placeholder indication)
133,Onivyde,irinotecan (liposomal),Pancreatic cancer (2L+),Oncology,2024-2026,EMA,DB00762,MONDO:0006478,DOID:4905,D010190,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
170,Eliquis,apixaban,Pediatric VTE prevention/treatment,Cardiovascular,2024-2026,EMA,DB06605,MONDO:0005399,DOID:3574,D054556,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
161,Otezla,apremilast,Plaque psoriasis,Immunology,2024-2026,"FDA, EMA, PMDA",DB05676,MONDO:0005083,DOID:8893,D011565,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
159,Canakinumab,canakinumab,TRAPS,Immunology,2024-2026,PMDA,DB06168,MONDO:0007727,DOID:0090018,C536657,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
157,Nucala,mepolizumab,"EGPA (expanded, PMDA)",Immunology,2024-2026,"EMA, PMDA",DB06612,MONDO:0015943,DOID:3049,D015267,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
153,Gamifant,emapalumab,HLH/MAS in Still's disease,Immunology,2024-2026,FDA,DB14724,MONDO:0011336,DOID:0110924,C537252,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
152,Benlysta,belimumab,Pediatric SLE,Immunology,2024-2026,"FDA, EMA",DB08879,MONDO:0007915,DOID:9074,D008180,False,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
143,Gazyvaro,obinutuzumab,Follicular lymphoma (+chemo),Oncology,2024-2026,EMA,DB08935,MONDO:0018906,DOID:0050873,D008224,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
141,Blincyto,blinatumomab,CD19+ B-precursor ALL consolidation,Oncology,2024-2026,MHRA/Orbis,DB09052,MONDO:0004967,DOID:9952,D054198,True,2_answer_leakage,Answer leakage: drug→disease edge already in a benchmarked KG
