disease,mrr,hit1,conf,n,GPT,Gemini,Llama,frac_consistent,disease_name,drug,area,doid,n_kg,model_spread,doidn,orig,modality,year
COVID-19 updated strain,0.1430293501048218,0.0,1.0,53,0.14781746031746032,0.1292016806722689,0.15130070546737212,0.0,COVID-19 updated strain,mRNA-1273,Infectious,DOID:0080599,1.0,0.022099024795103228,80599,2020.0,Small mol,2023
Obstructive sleep apnea with obesity,0.14824368018812462,0.0,1.0,54,0.12896825396825395,0.13095238095238093,0.18481040564373893,0.0,Obstructive sleep apnea with obesity,tirzepatide,Metabolic,DOID:0050848,3.0,0.05584215167548498,50848,2022.0,Peptide,2023
First-line anemia in lower-risk MDS,0.1618268802848242,0.009345794392523364,1.0288461538461537,107,0.13569160997732427,0.13613315696649028,0.21292989417989416,0.0,First-line anemia in lower-risk MDS,luspatercept,Hematology,DOID:0050908,3.0,0.0772382842025699,50908,2019.0,Antibody,2023
CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),0.17648996705600478,0.03773584905660377,1.0769230769230769,53,0.1316137566137566,0.14250700280112044,0.2534611992945326,0.0,CRSwNP (eosinophilic chronic rhinosinusitis with nasal polyps),tezepelumab,Immunology,DOID:0110597,3.0,0.12184744268077599,110597,2021.0,Antibody,2024-2026
HoFH in children,0.1804282719377059,0.03773584905660377,1.1020408163265305,53,0.24503968253968253,0.13197945845004666,0.16157407407407404,0.0,HoFH in children,evinacumab,Metabolic,DOID:0090105,1.0,0.11306022408963587,90105,2021.0,Antibody,2023
HoFH pediatric (EMA),0.1833774250440917,0.018518518518518517,1.0196078431372548,54,0.14933862433862433,0.21302910052910054,0.18776455026455025,0.0,HoFH pediatric (EMA),evinacumab,Metabolic,DOID:0090105,1.0,0.06369047619047621,90105,2021.0,Antibody,2023
Spinal muscular atrophy (pediatric expansion),0.18432914046121593,0.018867924528301886,1.1020408163265305,53,0.15702614379084967,0.22127425044091711,0.17317019400352732,0.03773584905660377,Spinal muscular atrophy (pediatric expansion),risdiplam,CNS,DOID:12377,1.0,0.06424810665006744,12377,2020.0,Small mol,2023
COVID-19 (expanded population),0.19247529200359384,0.0,1.4230769230769231,53,0.20879629629629626,0.1660364145658263,0.2011243386243386,0.1509433962264151,COVID-19 (expanded population),remdesivir,Infectious,DOID:0080599,1.0,0.04275988173046996,80599,2020.0,Small mol,2023
Heart failure (broadened),0.19640652557319224,0.0,1.5490196078431373,54,0.21000881834215168,0.1839285714285714,0.19528218694885358,0.18518518518518517,Heart failure (broadened),dapagliflozin,Cardiovascular,SYMP:0000292,3.0,0.02608024691358027,292,2014.0,Small mol,2023
Acquired hypofibrinogenemia in cardiovascular surgery,0.20466637272192828,0.037037037037037035,1.0384615384615385,54,0.18948412698412698,0.2175925925925926,0.20692239858906525,0.0,Acquired hypofibrinogenemia in cardiovascular surgery,fibrinogen,Hematology,DOID:2219,1.0,0.02810846560846561,2219,1996.0,Small mol,2024-2026
Delay T1D onset in children ≥1yr,0.21079664570230605,0.07547169811320754,1.1176470588235294,53,0.19246031746031741,0.24136321195144722,0.20026455026455026,0.0,Delay T1D onset in children ≥1yr,teplizumab-mzwv,Metabolic,DOID:9744,3.0,0.048902894491129806,9744,2022.0,Antibody,2024-2026
PKU expanded to ≥12yr,0.22536743092298647,0.07407407407407407,1.0192307692307692,54,0.14671516754850086,0.3165564373897707,0.21283068783068781,0.0,PKU expanded to ≥12yr,pegvaliase-pqpz,Metabolic,DOID:9281,3.0,0.16984126984126982,9281,2018.0,Small mol,2024-2026
Chronic hepatitis B (pediatric),0.23705173427395648,0.037037037037037035,1.411764705882353,54,0.1987654320987654,0.26728395061728394,0.24510582010582008,0.16666666666666666,Chronic hepatitis B (pediatric),tenofovir alafenamide,Infectious,DOID:2043,3.0,0.06851851851851853,2043,2016.0,Small mol,2023
Chorea associated with Huntington's disease,0.281305114638448,0.12962962962962962,1.6037735849056605,54,0.15681216931216926,0.42757936507936506,0.2595238095238095,0.1111111111111111,Chorea associated with Huntington's disease,valbenazine,CNS,DOID:12858,3.0,0.27076719576719577,12858,2017.0,Small mol,2023
COVID-19 in severe renal impairment/dialysis,0.29859641387419167,0.07407407407407407,1.9,54,0.2840167548500882,0.3819444444444444,0.22982804232804227,0.25925925925925924,COVID-19 in severe renal impairment/dialysis,remdesivir,Infectious,DOID:0080599,1.0,0.15211640211640215,80599,2020.0,Small mol,2023
dMMR recurrent/advanced endometrial cancer,0.3366475602586714,0.2037037037037037,1.9038461538461537,54,0.39087301587301587,0.43816137566137564,0.18090828924162258,0.18518518518518517,dMMR recurrent/advanced endometrial cancer,dostarlimab,Oncology,DOID:1380,2.0,0.2572530864197531,1380,2021.0,Antibody,2023
dMMR/MSI-H primary advanced endometrial cancer (+chemo),0.36090534979423866,0.24074074074074073,2.019230769230769,54,0.3127204585537919,0.47197971781305115,0.298015873015873,0.24074074074074073,dMMR/MSI-H primary advanced endometrial cancer (+chemo),dostarlimab,Oncology,DOID:1380,2.0,0.17396384479717814,1380,2021.0,Antibody,2023
dMMR/MSI-H primary advanced endometrial cancer,0.3716490299823633,0.24074074074074073,1.98,54,0.3819444444444444,0.38657407407407407,0.3464285714285714,0.2037037037037037,dMMR/MSI-H primary advanced endometrial cancer,dostarlimab,Oncology,DOID:1380,2.0,0.04014550264550265,1380,2021.0,Antibody,2023
HR+/HER2- breast cancer,0.3735699311171009,0.16981132075471697,2.1153846153846154,53,0.3724426807760141,0.5402661064425771,0.21726190476190477,0.22641509433962265,HR+/HER2- breast cancer,sacituzumab govitecan,Oncology,DOID:1612,2.0,0.32300420168067234,1612,2020.0,Antibody,2023
High LDL-C with increased CV risk (expanded),0.4115814226925338,0.3148148148148148,2.2830188679245285,54,0.4327380952380952,0.41964285714285715,0.382363315696649,0.3148148148148148,High LDL-C with increased CV risk (expanded),inclisiran,Cardiovascular,DOID:13810,1.0,0.0503747795414462,13810,2021.0,Small mol,2023
Ph+ CML-CP after 2+ TKIs,0.42048517520215634,0.32075471698113206,2.2830188679245285,53,0.42294973544973546,0.3855042016806723,0.45105820105820105,0.32075471698113206,Ph+ CML-CP after 2+ TKIs,asciminib,Oncology,DOID:0081088,2.0,0.06555399937752876,81088,2012.0,Small mol,2023
HR+/HER2-low breast cancer,0.4245517342739565,0.2037037037037037,2.411764705882353,54,0.364021164021164,0.6052469135802468,0.3043871252204585,0.42592592592592593,HR+/HER2-low breast cancer,trastuzumab deruxtecan,Oncology,DOID:1612,2.0,0.3008597883597883,1612,2020.0,Antibody,2023
Retinal vein occlusion,0.4368606701940035,0.3425925925925926,2.324074074074074,108,0.42162698412698413,0.4312169312169312,0.4577380952380952,0.3333333333333333,Retinal vein occlusion,faricimab,Ophthalmology,DOID:1727,2.0,0.036111111111111094,1727,2022.0,Antibody,2023
LDL-C elevation in statin-intolerant dyslipidemia,0.4454627133872417,0.33962264150943394,2.3137254901960786,53,0.4176587301587301,0.396078431372549,0.5199074074074074,0.32075471698113206,LDL-C elevation in statin-intolerant dyslipidemia,pemafibrate,Cardiovascular,DOID:3146,1.0,0.12382897603485837,3146,2017.0,Small mol,2024-2026
Follicular lymphoma,0.45042621987066433,0.35185185185185186,2.3207547169811322,54,0.4218253968253968,0.4314373897707231,0.49801587301587297,0.3148148148148148,Follicular lymphoma,tafasitamab,Oncology,DOID:0050873,3.0,0.07619047619047614,50873,2019.0,Small mol,2023
Ph+ CML-CP frontline (EMA Feb 2026),0.4567385444743935,0.3584905660377358,2.3773584905660377,53,0.45294117647058824,0.4384920634920635,0.47857142857142854,0.33962264150943394,Ph+ CML-CP frontline (EMA Feb 2026),asciminib,Oncology,DOID:0081088,2.0,0.04007936507936505,81088,2012.0,Small mol,2023
